representation,classifier,subject,actual,predicted,correct,recordings,decision_score
mean,LogisticRegression,co2a0000364,1,1,True,30,12.380087901562629
mean,LogisticRegression,co2a0000365,1,1,True,30,2.0100405347517043
mean,LogisticRegression,co2a0000368,1,1,True,24,7.139798334119034
mean,LogisticRegression,co2a0000369,1,0,False,30,-6.869482337297135
mean,LogisticRegression,co2a0000370,1,1,True,30,6.609176847649067
mean,LogisticRegression,co2a0000371,1,1,True,30,8.774379031178306
mean,LogisticRegression,co2a0000372,1,1,True,30,2.3877578636597576
mean,LogisticRegression,co2a0000375,1,0,False,30,-4.560759336717007
mean,LogisticRegression,co2a0000377,1,1,True,30,7.300019766651107
mean,LogisticRegression,co2a0000378,1,0,False,30,-5.060287977175604
mean,LogisticRegression,co2c0000337,0,1,False,30,2.7028995357799124
mean,LogisticRegression,co2c0000338,0,1,False,30,3.797574392363834
mean,LogisticRegression,co2c0000339,0,0,True,30,-3.8362406512813223
mean,LogisticRegression,co2c0000340,0,0,True,30,-7.297523466467792
mean,LogisticRegression,co2c0000341,0,0,True,29,-3.3845968251952145
mean,LogisticRegression,co2c0000342,0,0,True,30,-0.12255774181173262
mean,LogisticRegression,co2c0000344,0,0,True,30,-1.9490165246721982
mean,LogisticRegression,co2c0000345,0,0,True,30,-4.794622958355096
mean,LogisticRegression,co2c0000346,0,0,True,30,-0.8910634104390661
mean,LogisticRegression,co2c0000347,0,0,True,30,-5.175793340522345
mean,LinearSVM,co2a0000364,1,1,True,30,2.8671284698755266
mean,LinearSVM,co2a0000365,1,1,True,30,0.39861589282403526
mean,LinearSVM,co2a0000368,1,1,True,24,1.330308112178027
mean,LinearSVM,co2a0000369,1,0,False,30,-1.391828992859086
mean,LinearSVM,co2a0000370,1,1,True,30,1.3445574113178875
mean,LinearSVM,co2a0000371,1,1,True,30,1.7434764775846592
mean,LinearSVM,co2a0000372,1,1,True,30,0.10623466543607686
mean,LinearSVM,co2a0000375,1,0,False,30,-0.9209402180457397
mean,LinearSVM,co2a0000377,1,1,True,30,1.7450669862552846
mean,LinearSVM,co2a0000378,1,0,False,30,-1.0952014248537563
mean,LinearSVM,co2c0000337,0,1,False,30,0.39854178784855865
mean,LinearSVM,co2c0000338,0,1,False,30,0.7765535746905139
mean,LinearSVM,co2c0000339,0,0,True,30,-0.9604367849735957
mean,LinearSVM,co2c0000340,0,0,True,30,-1.343223755448714
mean,LinearSVM,co2c0000341,0,0,True,29,-0.7824415949212474
mean,LinearSVM,co2c0000342,0,1,False,30,0.1762659038361582
mean,LinearSVM,co2c0000344,0,0,True,30,-0.3003041237714305
mean,LinearSVM,co2c0000345,0,0,True,30,-0.9591433400963196
mean,LinearSVM,co2c0000346,0,0,True,30,-0.4652019031157164
mean,LinearSVM,co2c0000347,0,0,True,30,-1.1511288713308019
mean,RBFSVM,co2a0000364,1,1,True,30,0.19493944476405023
mean,RBFSVM,co2a0000365,1,1,True,30,0.03795983972207828
mean,RBFSVM,co2a0000368,1,1,True,24,0.5504211857166514
mean,RBFSVM,co2a0000369,1,0,False,30,-0.6168977297922387
mean,RBFSVM,co2a0000370,1,1,True,30,0.6344963100826393
mean,RBFSVM,co2a0000371,1,1,True,30,0.22450865359510258
mean,RBFSVM,co2a0000372,1,1,True,30,0.09761336406670414
mean,RBFSVM,co2a0000375,1,0,False,30,-0.247138974856262
mean,RBFSVM,co2a0000377,1,1,True,30,0.5318673536430031
mean,RBFSVM,co2a0000378,1,0,False,30,-0.31497964474328394
mean,RBFSVM,co2c0000337,0,1,False,30,0.19732934764491794
mean,RBFSVM,co2c0000338,0,1,False,30,0.13999978323554363
mean,RBFSVM,co2c0000339,0,1,False,30,0.17032433419343493
mean,RBFSVM,co2c0000340,0,0,True,30,-0.675266578823028
mean,RBFSVM,co2c0000341,0,0,True,29,-0.5667838776808751
mean,RBFSVM,co2c0000342,0,0,True,30,-0.46387226805876525
mean,RBFSVM,co2c0000344,0,0,True,30,-0.7375009924260555
mean,RBFSVM,co2c0000345,0,0,True,30,-0.37358259293560225
mean,RBFSVM,co2c0000346,0,0,True,30,-0.2618766438110811
mean,RBFSVM,co2c0000347,0,0,True,30,-0.5372271862880726
